src_ip;oct1;oct2;oct3;oct4;pca1;pca2
192.168.127.23;192;168;127;23;-75.81531500355345;-2.4566656085285854
192.168.127.24;192;168;127;24;-74.81534080254485;-2.4494824812696168
192.168.127.25;192;168;127;25;-73.81536660153624;-2.4422993540106472
192.168.127.26;192;168;127;26;-72.81539240052766;-2.4351162267516786
192.168.127.27;192;168;127;27;-71.81541819951906;-2.4279330994927104
192.168.127.28;192;168;127;28;-70.81544399851046;-2.420749972233742
192.168.127.29;192;168;127;29;-69.81546979750186;-2.4135668449747736
192.168.127.30;192;168;127;30;-68.81549559649328;-2.4063837177158045
192.168.127.31;192;168;127;31;-67.81552139548467;-2.3992005904568354
192.168.127.32;192;168;127;32;-66.81554719447607;-2.3920174631978672
192.168.127.33;192;168;127;33;-65.81557299346748;-2.3848343359388986
192.168.127.34;192;168;127;34;-64.81559879245889;-2.3776512086799304
192.168.127.35;192;168;127;35;-63.81562459145028;-2.370468081420961
192.168.127.36;192;168;127;36;-62.81565039044166;-2.3632849541619922
192.168.127.38;192;168;127;38;-60.81570198842447;-2.348918699644055
192.168.127.39;192;168;127;39;-59.81572778741588;-2.341735572385087
192.168.127.40;192;168;127;40;-58.8157535864073;-2.334552445126118
192.168.127.42;192;168;127;42;-56.81580518439009;-2.3201861906081813
192.168.127.43;192;168;127;43;-55.81583098338149;-2.313003063349212
192.168.127.49;192;168;127;49;-49.815985777329914;-2.2699042997954
192.168.127.50;192;168;127;50;-48.81601157632131;-2.2627211725364313
192.168.127.53;192;168;127;53;-45.81608897329553;-2.241171790759526
192.168.127.58;192;168;127;58;-40.81621796825254;-2.2052561544646827
192.168.127.59;192;168;127;59;-39.81624376724393;-2.1980730272057136
192.168.127.69;192;168;127;69;-29.81650175715797;-2.1262417546160277
192.168.127.71;192;168;127;71;-27.816553355140773;-2.11187550009809
192.168.127.74;192;168;127;74;-24.81663075211498;-2.090326118321184
192.168.128.1;192;168;128;1;-97.80756429848363;-3.61466860923449
192.168.128.2;192;168;128;2;-96.80759009747501;-3.607485481975522
192.168.128.3;192;168;128;3;-95.80761589646643;-3.600302354716554
192.168.128.4;192;168;128;4;-94.80764169545783;-3.593119227457584
192.168.128.5;192;168;128;5;-93.80766749444923;-3.5859361001986163
192.168.128.7;192;168;128;7;-91.80771909243204;-3.571569845680679
192.168.128.8;192;168;128;8;-90.80774489142344;-3.5643867184217104
192.168.128.10;192;168;128;10;-88.80779648940624;-3.5500204639037727
192.168.128.11;192;168;128;11;-87.80782228839766;-3.5428373366448045
192.168.128.12;192;168;128;12;-86.80784808738905;-3.5356542093858354
192.168.128.13;192;168;128;13;-85.80787388638045;-3.5284710821268668
192.168.128.14;192;168;128;14;-84.80789968537185;-3.5212879548678986
